model_path,folder,val_loss,val_acc,time_per_image,throughput,nums_trainable_parameters
model_weights/final_checkpoint_resnet18_batch_norm.pt,masked,1.3700177801056663,0.6358019801980198,7.025476965573755e-05,14233.909027105212,51813
model_weights/final_checkpoint_resnet18_batch_norm.pt,clean,1.19195833166519,0.6787326732673268,5.0804317587673076e-05,19683.36644369445,51813
model_weights/final_checkpoint_resnet18_batch_norm.pt,downsampled,3.5993444709777833,0.22946534653465347,4.9362919118144725e-05,20258.121234820206,51813
model_weights/final_checkpoint_resnet18_batch_norm.pt,blur_medium,2.459206427753562,0.3973069306930693,5.1500528165609526e-05,19417.27659150046,51813
model_weights/final_checkpoint_resnet18_batch_norm.pt,blur_little,1.52519615190336,0.5958415841584158,5.082605380823116e-05,19674.948674414936,51813
model_weights/final_checkpoint_resnet18_batch_norm.pt,noise_rotation,1.5447988879798662,0.5885544554455445,4.946935294878365e-05,20214.5356749,51813
model_weights/final_checkpoint_resnet18_custom_model.pt,masked,1.1648458500474987,0.6830891089108911,0.0001055044419694655,9478.273912764871,194469
model_weights/final_checkpoint_resnet18_custom_model.pt,clean,1.1166386938390165,0.6956039603960396,9.952592377615447e-05,10047.6334412039,194469
model_weights/final_checkpoint_resnet18_custom_model.pt,downsampled,3.2798496013867973,0.2526732673267327,0.00010231687526891727,9773.55883251635,194469
model_weights/final_checkpoint_resnet18_custom_model.pt,blur_medium,1.96608735684121,0.49457425742574257,0.00010108202754861057,9892.955496159768,194469
model_weights/final_checkpoint_resnet18_custom_model.pt,blur_little,1.3413942769966503,0.6420990099009901,0.00010297250275564666,9711.33043520362,194469
model_weights/final_checkpoint_resnet18_custom_model.pt,noise_rotation,1.2605676561346149,0.6607524752475248,0.00010189825001329478,9813.711225359893,194469
model_weights/final_checkpoint_resnet18_linear_probe.pt,masked,1.9445504964318605,0.5085544554455446,5.080278793183884e-05,19683.959103616155,51813
model_weights/final_checkpoint_resnet18_linear_probe.pt,clean,1.6397011779936232,0.5757623762376237,5.250094196583965e-05,19047.277297437093,51813
model_weights/final_checkpoint_resnet18_linear_probe.pt,downsampled,4.025214070952765,0.1716831683168317,5.098247528076172e-05,19614.583138479957,51813
model_weights/final_checkpoint_resnet18_linear_probe.pt,blur_medium,2.805770143272853,0.3303762376237624,5.181281401379274e-05,19300.244911110152,51813
model_weights/final_checkpoint_resnet18_linear_probe.pt,blur_little,2.102774340818424,0.47306930693069305,5.100292734580465e-05,19606.717732492212,51813
model_weights/final_checkpoint_resnet18_linear_probe.pt,noise_rotation,1.9619716718031628,0.5020990099009901,5.177207040314627e-05,19315.433827796627,51813
model_weights/final_checkpoint_resnet18_task_specific_adapter.pt,masked,1.3852950283041094,0.6308910891089109,6.037988757142926e-05,16561.806260685767,139933
model_weights/final_checkpoint_resnet18_task_specific_adapter.pt,clean,1.199512173893428,0.6737029702970297,6.16173508143661e-05,16229.194971602863,139933
model_weights/final_checkpoint_resnet18_task_specific_adapter.pt,downsampled,3.656299859868418,0.22863366336633664,5.887498005782024e-05,16985.14375746565,139933
model_weights/final_checkpoint_resnet18_task_specific_adapter.pt,blur_medium,2.4102358906245467,0.4137425742574257,6.107865701807608e-05,16372.331168055194,139933
model_weights/final_checkpoint_resnet18_task_specific_adapter.pt,blur_little,1.649622632904808,0.5727128712871287,6.0274596261506037e-05,16590.737425455693,139933
model_weights/final_checkpoint_resnet18_task_specific_adapter.pt,noise_rotation,1.4643821487993296,0.6111683168316832,6.025437081214225e-05,16596.306401036778,139933
model_weights/final_checkpoint_resnet18_lora.pt,masked,1.391577053797127,0.6371089108910891,5.370974776768448e-05,18618.594232193907,572517
model_weights/final_checkpoint_resnet18_lora.pt,clean,1.241393182830055,0.6737821782178218,5.335763421389136e-05,18741.4606125782,572517
model_weights/final_checkpoint_resnet18_lora.pt,downsampled,3.842660334407693,0.20126732673267328,5.250348194991008e-05,19046.355838914274,572517
model_weights/final_checkpoint_resnet18_lora.pt,blur_medium,2.449517663143649,0.40736633663366334,5.410076367973101e-05,18484.027432955674,572517
model_weights/final_checkpoint_resnet18_lora.pt,blur_little,1.7323822367734247,0.5687128712871287,5.5405824491293126e-05,18048.643968056957,572517
model_weights/final_checkpoint_resnet18_lora.pt,noise_rotation,1.5879704573532143,0.5935445544554455,5.400037293386932e-05,18518.390627128334,572517
model_weights/final_checkpoint_efficientnet_batch_norm.pt,masked,0.49272146633769026,0.8579009900990099,0.002967939650658334,336.934074713475,283253
model_weights/final_checkpoint_efficientnet_batch_norm.pt,clean,0.47389110941189055,0.8646732673267327,0.0029714935321619013,336.53110436772613,283253
model_weights/final_checkpoint_efficientnet_batch_norm.pt,downsampled,3.4142898975787777,0.2972277227722772,0.0028718534129680974,348.20718755505254,283253
model_weights/final_checkpoint_efficientnet_batch_norm.pt,blur_medium,1.464931994372075,0.619009900990099,0.002873462478713234,348.01220040562714,283253
model_weights/final_checkpoint_efficientnet_batch_norm.pt,blur_little,0.7248078352466668,0.7960792079207921,0.002822242481873767,354.32816507533806,283253
model_weights/final_checkpoint_efficientnet_batch_norm.pt,noise_rotation,0.6219632650655095,0.8222970297029703,0.002763724421510602,361.83057623864613,283253
model_weights/final_checkpoint_efficientnet_linear_probe.pt,masked,1.5178467041714356,0.6091089108910891,0.0027637345247929638,361.82925350795466,129381
model_weights/final_checkpoint_efficientnet_linear_probe.pt,clean,1.4695205734767536,0.6177029702970297,0.002795253064372752,357.7493618540751,129381
model_weights/final_checkpoint_efficientnet_linear_probe.pt,downsampled,4.3319073629096,0.1060990099009901,0.00279231327359039,358.1260059385056,129381
model_weights/final_checkpoint_efficientnet_linear_probe.pt,blur_medium,3.096221765234919,0.2851485148514851,0.002788358952739451,358.6338835670852,129381
model_weights/final_checkpoint_efficientnet_linear_probe.pt,blur_little,2.1532224407762586,0.48067326732673266,0.0027820399067189435,359.4484743316895,129381
model_weights/final_checkpoint_efficientnet_linear_probe.pt,noise_rotation,1.781345715966555,0.5505346534653466,0.0027956119763969194,357.7034325374562,129381
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,masked,0.7231979283416036,0.7986138613861387,0.0027964595945754855,357.59501118477783,153729
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,clean,0.6908867547231735,0.8064554455445545,0.0028116679616493755,355.66077276542353,153729
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,downsampled,3.322537910348118,0.2563960396039604,0.002800462250662322,357.0839063313549,153729
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,blur_medium,2.084309073438739,0.47615841584158414,0.002814058738179726,355.3586094108505,153729
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,blur_little,1.1349694993472335,0.696039603960396,0.00280383824830008,356.6539548443221,153729
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,noise_rotation,0.9123587133624766,0.748990099009901,0.002800655034509036,357.0593263640923,153729
model_weights/final_checkpoint_efficientnet_lora.pt,masked,0.5670065381336349,0.8395247524752475,0.0021193743129767992,471.83736911269574,1511997
model_weights/final_checkpoint_efficientnet_lora.pt,clean,0.5348172701384669,0.8494257425742574,0.002119157394560257,471.88566671212664,1511997
model_weights/final_checkpoint_efficientnet_lora.pt,downsampled,3.4359686737249393,0.23976237623762375,0.0021197988585670395,471.7428712439202,1511997
model_weights/final_checkpoint_efficientnet_lora.pt,blur_medium,1.758488545578305,0.5474059405940594,0.0021218331591917735,471.29058930387794,1511997
model_weights/final_checkpoint_efficientnet_lora.pt,blur_little,0.8814195636754284,0.7582574257425743,0.0021210033492286605,471.474974503773,1511997
model_weights/final_checkpoint_efficientnet_lora.pt,noise_rotation,0.8388447472843904,0.772,0.002119458831182801,471.8185535323338,1511997
